명 칭,소 재 지,건물 연면적(㎡),소장 장서수(권),비고
반석마을1단지문고,"대전광역시 유성구 지족로 317, (지족동, 반석마을아파트1단지)",72,"6,292",사립
반석마을6단지문고,"대전광역시 유성구 반석서로 98, (반석동, 반석마을6단지아파트)",58.2,"4,558",사립
반석마을7단지문고,대전 유성구 반석동,92.73,"5,805",사립
반석마을8단지문고,대전 유성구 반석동,33,"2,100",사립
백조의호수예미지도서관,"대전광역시 유성구 봉명로 94, (봉명동, 도안신도시7단지예미지백조의호수)",90,"9,490",사립
별똥별과학도서관,"대전광역시 유성구 죽동로 322, (죽동)",532.5,"13,545",공립
새마을문고유성구지부,"대전광역시 유성구 온천서로 38, (장대동)",50,"1,328",사립
새미래숲아파트 주민도서관,"대전광역시 유성구 지족로190번길 16, (지족동, 새미래숲아파트)",69,"6,628",사립
소담도서문화센터,대전광역시 유성구 봉명로 48(신안인스빌리베라),242.14,"8,744",사립
송강마을 작은도서관,대전광역시 유성구 송강로42번길 34,166.29,"17,850",공립
송강테크노도서관,"대전광역시 유성구 구즉로58번길 53, (송강동)",156,"3,000",사립
송림마을3단지문고,"대전광역시 유성구 노은로 353, (하기동, 송림마을아파트3단지)",43.84,"8,135",사립
송림마을4단지(소나무도서관),"대전광역시 유성구 노은로 358, (하기동, 송림마을아파트4단지)",43,"2,613",사립
숲속의 글마루(노은2동주민센터),"대전광역시 유성구 송림로19번길 35, (하기동)",66.5,"5,876",공립
스마트작은도서관,"대전광역시 유성구 엑스포로123번길 46-15, (도룡동, 스마트시티)",91,"5,090",사립
신성마을 작은도서관,대전광역시 유성구 신성남로 27(작은도서관),181.1,"19,395",공립
씨오쟁이 작은도서관,"대전광역시 유성구 유성대로 777-1, (장대동)",107.1,"2,930",사립
아름다운도서관(송림마을5단지),대전 유성구 하기동,65.21,"7,793",사립
어울림 하트도서관,대전  유성구 원신흥동,97.75,"4,306",사립
어은 책마을 작은도서관,"대전광역시 유성구 대학로203번길 7, (어은동)",84.24,"4,500",사립
예미지문고,대전광역시 유성구 배울2로 3(대덕테크노밸리8단지아파트),72.3,"5,007",사립
온천마을 작은도서관 ,대전광역시 유성구 문화원로 46(유성문화원),196,"17,684",공립
옹달샘작은도서관,대전광역시 유성구 지족북로 33(한화꿈에그린 1블럭),215.2,"5,300",사립
우림문고(테크노12단지),"대전광역시 유성구 배울1로 119, (용산동, 대덕테크노밸리12단지아파트)",123,"8,514",사립
우주작은도서관,"대전광역시 유성구 진잠로149번길 17, (교촌동)",108.74,"6,090",사립
원신흥동주민센터어린이도서관,"대전광역시 유성구 봉명로 27-18, (원신흥동)",79,"8,204",공립
유성구어린이영어마을도서관,"대전광역시 유성구 지족동로 145, (지족동)",234,"21,632",공립
자운마을 작은도서관,대전광역시 유성구 자운로97번길 470,99,"13,402",공립
죽동예미지아파트 도서관,"대전광역시 유성구 죽동로 321, (죽동, 금성백조예미지)",155,"3,752",사립
천양원문고,"대전광역시 유성구 현충원로 473, (장대동)",84.6,"4,271",사립
큰나무 작은도서관,"대전광역시 유성구 도안대로 575, (봉명동)",52,"2,449",사립
탄허불교도서관,"대전광역시 유성구 학하동로63번길 50-8, (학하동)",33,"1,200",사립
트리풀시티5단지 작은도서관,"대전광역시 유성구 상대로 16, (상대동, 도안신도시5블록 트리풀시티아파트)",194,"5,425",사립
트리풀시티아파트문고,대전 유성구 상대동,97,"4,548",사립
트리풀시티포레아파트 작은도서관,"대전광역시 유성구 지족로190번길 36, (지족동, 트리풀시티 포레)",84.46,"1,348",사립
평안문고,대전 유성구 전민동,34,"1,235",사립
푸른도서관,"대전광역시 유성구 죽동로 251, (죽동, 푸르지오아파트)",57.8,"3,770",사립
학의 뜰 작은도서관,"대전광역시 유성구 학하로 33, (계산동, 학하리슈빌 학의뜰아파트)",113.7,"5,650",사립
한라비발디아파트문고,대전 유성구 상대동,205.55,"6,827",사립
한빛도서문고,"대전광역시 유성구 어은로 57, (어은동, 한빛아파트)",374,"25,847",사립
해랑숲마을5단지 주민도서관,"대전광역시 유성구 지족로 240, (지족동, 노은해랑숲마을5단지아파트)",101.8,"2,277",사립
행복도서관(송림마을2단지),"대전광역시 유성구 송림로 20, (하기동, 송림마을아파트2단지)",75,"9,346",사립
행복한 작은 도서관,대전광역시 유성구 노은서로266번길 61(계룡리슈빌스카이),63,"2,550",사립
희망마을 작은도서관,대전광역시 유성구 유성대로680번길 126(봉명희망마을 만들기),334.5,"15,000",공립
구름자전거작은도서관,"대전광역시 대덕구 동춘당로23번길 46-1, (송촌동)",118.08,"1,576",사립
꾸러기어린이도서관,"대전광역시 대덕구 비래동로39번길 9, (비래동)",126,"11,855",사립
